company,fiscal_year,revenue_growth,operating_margin,free_cash_flow,current_ratio,equity,total_debt,interest_coverage,ebitda,debt_to_ebitda,ocf_to_debt
Costco,2025,0.08167323631476146,0.03772412665540356,7837000000,1.0342783227336423,29164000000,5805000000.0,67.42207792207792,12809000000,0.4531969708798501,2.297157622739018
Home Depot,2026,0.03240467921310982,0.12684976591390731,12646000000,1.06066493955095,12813000000,49397000000.0,8.660862354892206,24163000000,2.0443239663949013,0.3304856570237059
Lowe's,2026,0.03121638740827497,0.11766682891778504,7651000000,1.0766582746750244,-9917000000,39819000000.0,6.827841291190316,12094000000,3.2924590706135275,0.2477209372410156
Target,2026,-0.01675956684120639,0.048835655659477,2835000000,0.9422986340084786,16165000000,14398000000.0,11.498876404494382,7734000000,1.8616498577708818,0.45575774413112935
Walmart,2026,0.04725456534694858,0.04222034418958881,14923000000,0.7897533242144247,99617000000,38166000000.0,12.86669542709232,44028000000,0.8668574543472336,1.0890583241628675
